Sample in Buffer,Sample in Window,TRIGGER,u_FFT_Top/current_state[2:0],u_FFT_Top/next_state[2:0],u_FFT_Top/row_count[3:0],u_FFT_Top/col_count[7:0],u_FFT_Top/data_count[7:0],u_FFT_Top/ram_we,u_FFT_Top/s_axis_data_tvalid,u_FFT_Top/s_axis_data_tready,u_FFT_Top/fft_256_valid_out,u_FFT_Top/fft_256_ready_out,u_FFT_Top/fft_16_valid_out_1,u_FFT_Top/fft_16_ready_in
208,208,0,1,1,f,00,94,0,1,0,1,0,0,1
209,209,0,1,1,f,00,95,0,1,0,1,0,0,1
210,210,0,1,1,f,00,96,0,1,1,1,1,0,1
211,211,0,1,1,f,00,97,1,1,0,1,1,0,1
212,212,0,1,1,f,00,97,1,1,0,1,1,0,1
213,213,0,1,1,f,00,97,1,1,0,1,1,0,1
214,214,0,1,1,f,00,97,1,1,0,1,1,0,1
215,215,0,1,1,f,00,97,1,1,0,1,1,0,1
216,216,0,1,1,f,00,97,1,1,0,1,1,0,1
217,217,0,1,1,f,00,97,1,1,0,1,1,0,1
218,218,0,1,1,f,00,97,1,1,0,1,1,0,1
219,219,0,1,1,f,00,97,1,1,0,1,1,0,1
220,220,0,1,1,f,00,97,1,1,0,1,0,0,1
221,221,0,1,1,f,00,97,0,1,0,1,0,0,1
222,222,0,1,1,f,00,98,0,1,0,1,0,0,1
223,223,0,1,1,f,00,99,0,1,0,1,0,0,1
224,224,0,1,1,f,00,9a,0,1,0,1,0,0,1
