Sample in Buffer,Sample in Window,TRIGGER,top_i/system_ila_0/inst/net_slot_0_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_0_axis_tvalid,top_i/system_ila_0/inst/net_slot_0_axis_tready,top_i/system_ila_0/inst/net_slot_0_axis_tlast,top_i/system_ila_0/inst/net_slot_1_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_1_axis_tvalid,top_i/system_ila_0/inst/net_slot_1_axis_tready,top_i/system_ila_0/inst/net_slot_1_axis_tlast,top_i/system_ila_0/inst/net_slot_2_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_2_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_2_axis_tvalid,top_i/system_ila_0/inst/net_slot_2_axis_tready,top_i/system_ila_0/inst/net_slot_2_axis_tlast,top_i/system_ila_0/inst/net_slot_3_axis_tdata[31:0],top_i/system_ila_0/inst/net_slot_3_axis_tkeep[3:0],top_i/system_ila_0/inst/net_slot_3_axis_tvalid,top_i/system_ila_0/inst/net_slot_3_axis_tready,top_i/system_ila_0/inst/net_slot_3_axis_tlast,Interface_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],Interface_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],Interface_(i1:s2)_(S_AXIS_0_1)[2:0],Interface_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0],T_Channel_(i1:s0)_(axis_data_fifo_1_M_AXIS)[2:0],T_Channel_(i1:s1)_(axis_data_fifo_0_M_AXIS)[2:0],T_Channel_(i1:s2)_(S_AXIS_0_1)[2:0],T_Channel_(i1:s3)_(axi_dma_0_M_AXIS_MM2S)[2:0]
6587,6587,0,f9eeed84,1,1,0,fde4fe30,0,0,1,0762ebc2,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6588,6588,0,00defc77,1,1,0,fde4fe30,0,0,1,0762ebc2,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6589,6589,0,00defc77,0,1,0,fde4fe30,0,0,1,06d8fbd1,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6590,6590,0,00defc77,0,1,0,fde4fe30,0,0,1,fcd5edcd,f,1,1,0,00000000,0,0,1,0,"_","Inactive","Active","Inactive","_","No Streams","Stream Beat","No Streams"
6591,6591,0,00defc77,0,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6592,6592,0,06d8fbd1,1,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6593,6593,0,fcd5edcd,1,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"Active","Inactive","_","Inactive","Stream Beat","No Streams","_","No Streams"
6594,6594,0,fcd5edcd,0,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6595,6595,0,fcd5edcd,0,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6596,6596,0,fcd5edcd,0,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
6597,6597,0,fcd5edcd,0,1,0,fde4fe30,0,0,1,e6ca942a,f,0,1,0,00000000,0,0,1,0,"_","Inactive","_","Inactive","_","No Streams","_","No Streams"
